"NOC","TEER","original_cluster","sil_width","new_cluster","critical_thinking","complex_problem_solving","judgment_and_decision_making","speaking","social_perceptiveness","active_listening","reading_comprehension","writing","coordination","persuasion","systems_analysis","systems_evaluation","monitoring","active_learning","time_management","management_of_personnel_resources","negotiation","management_of_financial_resources","learning_strategies","instructing","service_orientation","management_of_material_resources","mathematics","operations_analysis","science","operations_monitoring","operation_and_control","quality_control_analysis","technology_design","programming","equipment_selection","equipment_maintenance","installation","repairing","troubleshooting"
"72020: Contractors and supervisors, mechanic trades","2","Technical management","0.554","Technical management","0.648","-0.097","1.269","0.541","-0.148","0.139","0.4","-0.214","1.466","0.473","1.087","0.965","1.978","0.441","1.72","2.205","0.68","1.875","0.858","0.469","0.161","1.911","0.785","0.794","-0.053","1.203","0.993","1.897","0.491","0.66","1.575","1.472","1.073","1.506","1.525"
"53200: Athletes","3","Communicators","0.177","Communicators","0.648","-0.369","0.029","0.83","-0.148","0.442","-0.603","-0.653","1.136","0.473","-1.07","-0.47","-0.152","-0.109","-0.418","0.36","0.442","-0.719","0.345","0.469","-0.086","-0.684","-0.793","-0.097","-0.053","-0.344","-0.624","-0.822","0.491","-1.199","-1.159","0.192","-0.532","-0.901","-0.287"
"53125: Patternmakers - textile, leather and fur products","3","Technologists","0.358","Technologists","0.648","-0.369","0.029","-0.862","-0.693","-0.421","-0.603","-0.214","-0.746","-0.304","0.133","0.247","-0.521","0.155","0.295","-1.042","-0.31","0.064","0.602","0.218","-0.086","-0.11","1.283","1.472","-0.936","0.615","0.347","1.058","1.218","0.914","-0.378","-0.781","-0.532","-0.581","0.064"
"41221: Elementary school and kindergarten teachers","1","Researchers and specialists","0.317","Researchers and specialists","0.589","0.651","0.773","1.369","1.742","1.025","1.065","1.014","1.344","0.677","0.564","0.732","1.632","1.322","1.298","0.349","0.775","-1.225","2.789","2.822","1.243","-0.625","0.307","-0.5","-0.123","-1.238","-1.268","-1.198","-0.14","-0.193","-0.772","-0.871","-0.532","-0.803","-0.985"
"22110: Biological technologists and technicians","2","Technologists","0.356","Technologists","0.58","0.481","-0.126","-0.083","-0.631","0.302","0.791","0.615","-0.676","-0.355","0.61","0.31","-0.336","0.579","-0.333","-0.285","-0.617","-0.189","0.271","-0.118","-0.417","-0.104","1.097","-0.204","2.096","0.522","0.586","-0.142","0.097","0.65","0.454","0.502","-0.131","0.418","0.619"
"51111: Authors and writers (except technical)","1","Communicators","0.532","Communicators","0.568","-0.08","0.184","0.747","0.289","0.809","1.407","2.585","0.284","0.928","-0.344","-0.416","-0.947","0.722","0.651","-0.807","0.309","-1.027","0.073","-0.249","-0.427","-1.264","-1.888","0.072","-0.666","-1.852","-1.514","-1.397","-0.282","-0.142","-1.011","-0.935","-0.532","-0.901","-1.529"
"51112: Technical writers","1","Communicators","0.532","Communicators","0.568","-0.08","0.184","0.747","0.289","0.809","1.407","2.585","0.284","0.928","-0.344","-0.416","-0.947","0.722","0.651","-0.807","0.309","-1.027","0.073","-0.249","-0.427","-1.264","-1.888","0.072","-0.666","-1.852","-1.514","-1.397","-0.282","-0.142","-1.011","-0.935","-0.532","-0.901","-1.529"
"70012: Facility operation and maintenance managers","0","Sales and administration","-0.031","People management","0.566","1.036","0.922","1.205","1.207","0.963","0.741","0.81","1.186","2.061","1.046","0.903","0.558","0.959","1.026","0.72","2.03","1.408","0.452","0.644","0.987","1.52","0.934","0.557","-0.511","-0.949","-0.725","-0.738","0.789","0.238","-0.67","-0.935","-0.49","-0.892","-0.866"
"72021: Contractors and supervisors, heavy equipment operator crews","2","Sales and administration","-0.304","Technical management","0.542","0.19","0.343","0.496","0.287","0.438","-0.008","0.04","1.466","0.684","0.336","0.532","0.738","0.027","1.364","1.963","0.723","0.403","0.822","0.731","0.124","0.743","0.166","0.161","-0.522","0.102","0.347","0.157","-0.095","-0.227","0.114","-0.028","-0.222","0.006","0.071"
"40041: Fire chiefs and senior firefighting officers","0","Sales and administration","0.257","Sales and administration","0.501","0.333","0.178","0.541","1.147","0.582","0.42","0.444","0.83","1.117","0.371","0.732","0.913","0.573","0.651","0.693","1.175","1.34","0.602","0.857","0.678","1.463","-0.129","0.464","0.129","0.128","-0.223","0.126","0.491","-0.016","-1.066","-0.858","-0.532","-0.741","0.166"
"12201: Insurance adjusters and claims examiners","2","Communicators","0.225","Communicators","0.501","0.061","0.488","0.685","0.011","0.442","0.781","0.988","-0.275","0.227","0.018","0.015","-1.032","0.034","-0.062","-0.221","0.68","0.187","-0.872","-0.841","0.285","-0.971","0.515","-0.65","-0.754","-0.73","-0.87","0.017","-0.464","0.248","-0.675","-0.615","-0.532","-0.504","-0.302"
"21112: Agricultural representatives, consultants and specialists","1","Researchers and specialists","0.112","Researchers and specialists","0.495","0.759","0.73","0.813","0.715","1.031","0.981","0.773","0.506","0.79","0.963","1.091","0.111","0.788","0.116","0.416","0.804","0.511","0.938","1.067","0.672","0.533","0.515","1.08","1.612","-0.205","0.062","-0.558","0.294","0.254","-0.616","-0.615","-0.468","-0.619","-0.429"
"53123: Theatre, fashion, exhibit and other creative designers","3","Sales and administration","0.358","Sales and administration","0.495","0.628","0.42","0.196","0.147","0.664","0.415","0.115","0.513","0.79","0.433","0.369","-0.428","0.375","0.829","0.411","0.621","0.707","0.137","0.207","0.358","0.751","-0.004","2.024","-0.144","-0.785","-0.786","-0.142","1.233","0.127","-0.081","-0.813","-0.201","-0.779","-0.663"
"41406: Recreation, sports and fitness policy researchers, consultants and program officers","1","People management","-0.037","Sales and administration","0.495","0.549","0.575","0.964","1.215","0.734","0.219","0.497","1.784","0.979","1.03","1.154","0.92","0.854","0.737","1.274","0.804","1.155","1.136","1.387","1.648","1.681","0.121","0.179","-0.056","-0.788","-0.546","-0.663","0.582","-0.005","-0.519","-0.775","-0.532","-0.824","-0.568"
"63100: Insurance agents and brokers","3","Sales and administration","0.24","Sales and administration","0.489","0.197","0.5","0.964","0.715","0.885","0.781","0.874","0.678","1.874","0.486","0.606","0.388","0.441","1.549","0.582","1.541","0.197","0.602","0.333","0.678","-0.11","1.034","-0.204","-1.02","-1.318","-0.708","-1.351","-0.282","0.122","-1.159","-0.935","-0.532","-0.901","-1.485"
"83101: Oil and gas well drillers, servicers, testers and related workers","3","Practical equipment operators","-0.162","Builders","0.489","-0.097","-0.132","-0.851","-0.557","-0.421","-0.723","-0.214","-0.275","0.094","-0.593","-0.237","0.729","-0.241","-0.946","0.471","0.314","-0.832","0.474","0.742","-0.737","-0.409","0.131","-0.766","-0.663","1.868","1.88","0.857","-1.025","-0.407","1.372","1.703","0.795","1.659","1.627"
"43202: By-law enforcement and other regulatory officers","3","Technologists","0.103","Technologists","0.437","0.22","0.22","0.434","0.145","0.376","0.488","0.632","-0.27","0.1","0.15","0.1","-0.121","0.272","-0.197","-0.179","0.222","-0.552","0.027","0.047","0.139","-0.594","0.017","-0.356","0.137","0.02","-0.189","0.144","-0.456","0.044","-0.528","-0.357","-0.513","-0.421","-0.35"
"72010: Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","2","Technical management","0.69","Technical management","0.436","-0.097","0.443","0.452","0.427","0.442","0.079","0.079","1.576","0.732","0.451","0.493","0.918","0.163","1.492","1.966","0.931","0.75","0.773","0.819","0.251","0.839","0.169","0.794","-0.291","0.615","0.67","0.857","0.471","-0.319","1.122","0.503","0.088","0.593","0.37"
"72011: Contractors and supervisors, electrical trades and telecommunications occupations","2","Technical management","0.677","Technical management","0.436","-0.097","0.55","0.355","-0.05","0.24","0.159","0.008","1.576","0.732","0.534","0.57","1.155","0.258","1.368","1.966","0.931","1.182","0.773","0.819","0.251","1.421","0.515","0.568","-0.174","0.749","0.778","1.203","0.349","0.125","1.383","0.828","0.538","0.861","0.794"
"72014: Contractors and supervisors, other construction trades, installers, repairers and servicers","2","Technical management","0.677","Technical management","0.436","-0.097","0.55","0.355","-0.05","0.24","0.159","0.008","1.576","0.732","0.534","0.57","1.155","0.258","1.368","1.966","0.931","1.182","0.773","0.819","0.251","1.421","0.515","0.568","-0.174","0.749","0.778","1.203","0.349","0.125","1.383","0.828","0.538","0.861","0.794"
"62010: Retail sales supervisors","2","Sales and administration","0.389","Sales and administration","0.403","0.429","0.277","0.265","0.261","0.68","0.163","0.049","0.576","0.829","0.469","0.441","-0.231","0.279","0.648","0.538","0.732","0.784","0.23","0.364","0.628","0.864","0.1","1.778","-0.336","-0.851","-0.818","-0.238","1.085","0.179","-0.297","-0.838","-0.267","-0.803","-0.734"
"63102: Financial sales representatives","3","Communicators","0.456","Communicators","0.403","0.084","0.342","0.928","0.033","0.792","0.664","0.442","-0.573","0.326","-0.104","-0.237","-0.861","0.547","-0.207","-0.946","0.193","-0.249","-0.095","-0.26","0.574","-1.378","1.346","-0.272","-0.964","-1.51","-1.4","-1.581","-0.582","0.115","-1.159","-0.935","-0.532","-0.901","-1.427"
"52119: Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","2","Sales and administration","0.26","Sales and administration","0.385","0.095","0.417","0.504","0.403","0.445","0.347","0.172","0.789","0.537","0.398","0.342","0.331","0.304","0.562","0.556","0.588","0.869","0.201","0.239","0.035","0.969","-0.492","0.901","-0.451","-0.568","-0.341","-0.22","0.192","-0.275","0.011","-0.394","0.204","-0.299","-0.272"
"13201: Production and transportation logistics coordinators","3","Sales and administration","0.34","Sales and administration","0.382","0.192","0.225","0.819","0.539","0.696","0.312","0.137","1.266","0.562","0.376","0.366","0.782","0.131","1.228","1.128","0.584","0.254","0.602","0.435","0.321","0.567","-0.04","-0.07","-0.755","-0.328","-0.464","-0.27","-0.138","0.029","-0.792","-0.615","-0.5","-0.581","-0.201"
"13110: Administrative assistants","3","Sales and administration","0.129","Sales and administration","0.348","0.628","1.12","1.164","0.863","1.095","1.102","1.216","0.989","0.918","0.729","0.916","0.644","1.135","1.357","1.495","0.928","1.731","1.002","0.857","1.065","0.539","0.256","0.741","-0.536","-1.268","-1.433","-1.032","-0.191","0.185","-1.159","-0.935","-0.532","-0.901","-1.481"
"22300: Civil engineering technologists and technicians","2","Technologists","0.257","Technologists","0.346","0.148","-0.078","-0.339","-0.512","0.298","0.493","0.219","-0.597","-0.12","0.534","0.574","-0.033","0.485","-0.299","-0.03","-0.102","0.06","0.064","0.078","-0.272","0.035","1.076","0.759","1.613","0.615","0.616","0.753","0.789","0.826","0.692","0.749","0.224","0.486","0.648"
"64409: Other customer and information services representatives","4","Communicators","0.202","Communicators","0.345","0.416","0.184","0.991","0.681","0.879","0.791","0.742","0.475","1.59","0.34","0.277","-0.549","0.513","0.248","-0.281","1.299","0.066","0.036","-0.055","0.936","-0.506","0.287","0.153","-0.557","-1.32","-1.192","-1.584","0.055","0.42","-1.136","-0.935","-0.532","-0.901","-1.481"
"42200: Paralegals and related occupations","2","Communicators","0.31","Communicators","0.342","0.197","-0.051","0.535","0.085","0.734","1.036","0.94","-0.44","-0.228","-0.464","-0.605","-0.421","0.161","-0.069","-0.456","-0.315","-0.904","-0.397","-0.972","0.161","-1.408","-0.715","-0.877","-0.54","-1.465","-1.433","-1.926","-0.661","-0.142","-1.011","-0.855","-0.532","-0.821","-1.481"
"43200: Sheriffs and bailiffs","3","Communicators","0.401","Communicators","0.342","-0.228","0.569","0.407","1.362","0.226","-0.026","-0.109","0.195","0.662","-0.344","-0.654","0.558","0.513","-0.24","0.01","0.621","-0.58","-0.338","-0.055","0.296","-0.748","-0.72","-1.381","-0.575","-0.305","-0.297","-0.768","-0.669","-0.28","-1.015","-0.897","-0.532","-0.901","-0.477"
"72406: Elevator constructors and mechanics","2","Builders","0.535","Builders","0.329","0.764","-0.293","-0.862","-0.693","0.139","-0.603","-0.881","-0.44","-0.038","0.133","0.499","-0.152","0.155","-0.418","-0.802","-0.31","-0.966","-1","-0.831","-0.355","-0.983","-1.291","-0.097","0.999","1.775","1.485","1.897","0.855","0.111","3.138","2.586","4.563","2.939","2.635"
"63101: Real estate agents and salespersons","3","Sales and administration","0.167","Sales and administration","0.329","0.469","0.81","1.097","1.431","1.025","0.159","0.663","1.631","1.874","0.362","0.48","0.558","0.573","1.378","1.274","2.165","1.093","0.335","0.333","0.801","0.613","1.159","-0.32","-1.02","-1.318","-0.708","-0.512","-0.479","-0.016","-1.159","-0.935","-0.532","-0.901","-0.937"
"60030: Restaurant and food service managers","0","Sales and administration","-0.154","Technical management","0.329","0.197","-0.293","0.541","0.988","0.442","0.4","-0.214","1.136","0.718","0.133","0.247","1.268","0.727","1.007","1.966","0.918","2.122","0.602","0.993","1.978","2.187","0.785","0.794","-0.235","-0.158","-0.145","0.219","-1.025","-0.142","0.013","0.025","-0.532","-0.107","-0.287"
"72012: Contractors and supervisors, pipefitting trades","2","Technical management","0.661","Technical management","0.329","-0.097","0.191","0.262","-0.001","0.29","0.039","0.119","1.631","0.861","0.257","0.373","0.743","0.166","1.193","1.846","1.056","0.836","0.73","0.993","0.296","1.176","0.38","0.456","-0.235","0.522","0.67","0.857","0.279","-0.142","1.286","0.505","0.27","0.539","0.429"
"72013: Contractors and supervisors, carpentry trades","2","Technical management","0.661","Technical management","0.329","-0.097","0.191","0.262","-0.001","0.29","0.039","0.119","1.631","0.861","0.257","0.373","0.743","0.166","1.193","1.846","1.056","0.836","0.73","0.993","0.296","1.176","0.38","0.456","-0.235","0.522","0.67","0.857","0.279","-0.142","1.286","0.505","0.27","0.539","0.429"
"82020: Supervisors, mining and quarrying","2","Technical management","0.661","Technical management","0.329","-0.097","0.191","0.262","-0.001","0.29","0.039","0.119","1.631","0.861","0.257","0.373","0.743","0.166","1.193","1.846","1.056","0.836","0.73","0.993","0.296","1.176","0.38","0.456","-0.235","0.522","0.67","0.857","0.279","-0.142","1.286","0.505","0.27","0.539","0.429"
"82021: Contractors and supervisors, oil and gas drilling and services","2","Technical management","0.661","Technical management","0.329","-0.097","0.191","0.262","-0.001","0.29","0.039","0.119","1.631","0.861","0.257","0.373","0.743","0.166","1.193","1.846","1.056","0.836","0.73","0.993","0.296","1.176","0.38","0.456","-0.235","0.522","0.67","0.857","0.279","-0.142","1.286","0.505","0.27","0.539","0.429"
"22111: Agricultural and fish products inspectors","2","Technologists","0.38","Technologists","0.329","-0.097","0.029","-0.016","-0.989","0.442","0.66","-0.003","-0.135","0.227","0.839","0.965","1.268","0.441","-0.76","-0.119","0.442","-0.719","0.345","0.469","-0.086","-0.684","0.245","-0.543","1.349","1.002","0.347","2.737","0.097","-0.142","-0.972","-0.935","-0.532","-0.901","-0.112"
"51114: Translators, terminologists and interpreters","1","Communicators","0.433","Communicators","0.329","-0.369","-0.293","1.364","-0.148","1.025","0.921","1.102","-0.44","0.227","-1.07","-0.974","0.899","0.155","-0.418","0.121","-0.547","-1.48","0.602","0.469","0.409","-1.833","-1.042","-0.775","-0.936","-0.931","-1.594","-0.822","0.491","-0.945","-1.159","-0.935","-0.532","-0.901","-1.207"
"51100: Librarians","1","Communicators","0.368","Communicators","0.329","-0.369","-0.293","0.83","0.147","0.745","0.921","0.874","-0.746","-0.304","-0.822","-0.47","0.218","0.441","-0.076","-0.119","-0.31","0.578","0.345","0.721","0.946","1.612","-1.042","-0.311","-0.936","-1.318","-1.439","-1.863","-0.297","0.914","-0.972","-0.781","-0.276","-0.901","-1.207"
"22101: Geological and mineral technologists and technicians","2","Technologists","0.267","Technologists","0.329","-0.506","-0.59","-0.572","-0.693","-0.584","0.4","0.225","-0.593","-0.038","0.133","-0.121","-0.322","-0.527","-0.247","-0.562","-1.062","-0.575","-0.466","-0.977","-1.119","-0.386","0.266","0.01","1.868","0.321","0.592","0.017","0.097","0.386","0.497","0.268","-0.404","0.303","0.531"
"22310: Electrical and electronics engineering technologists and technicians","2","Builders","0.558","Builders","0.31","0.42","-0.139","-0.906","-0.716","-0.603","-0.017","-0.084","-0.486","-0.546","0.507","0.476","-0.123","-0.28","-0.458","-0.263","-0.801","-0.233","-0.009","-0.172","-0.685","-0.115","0.594","0.302","1.024","1.407","1.164","1.515","1.661","1.256","1.816","2.123","2.876","2.379","2.272"
